symbol,yahoo_ticker,name,country,region,exchange,currency,asset_class,index_source,sector,active
2330,2330.TW,Taiwan Semiconductor Manufacturing Co,Taiwan,Asia,TWSE,TWD,Equity,Asia sample,Technology,true
0700,0700.HK,Tencent Holdings Ltd,Hong Kong,Asia,HKEX,HKD,Equity,Hang Seng,Communication Services,true
