ticker,entry_date,entry_price,shares,position_value,stop_loss,take_profit,signal_exit_count,last_signal_exit_check
AAPL,2026-07-01 00:00:00,295.5,3.3840947546531304,1000.0,278.44498552594865,321.082521711077,0,
IUSA.L,2026-07-06,5597.0,0.3573342862247632,2000.0,5497.253766741072,5746.619349888393,2,2026-07-08T12:08:13
TSLA,2026-07-06,403.5199890136719,1.9658504448352,793.2599499024217,352.6514195033482,479.8228432791574,1,2026-07-08T12:08:13
ETH-GBP,2026-07-03,1302.5400390625,0.3838653592252517,500.0,1190.6432582310267,1470.3852103097097,1,2026-07-08T12:08:13
BTC-GBP,2026-07-06,47435.0390625,0.0210814625594048,999.9999999999998,44083.55524553572,52462.26478794643,0,
MSFT,2026-07-07,393.5400085449219,2.541037704647638,1000.0,366.15287126813615,434.6207144601004,1,2026-07-08T12:08:13
