event_id,timestamp,trade_date,trade_time,ticker,action,shares,price,value,fees,currency,source,mode,status,reason,legacy_trade_id,run_id,position_id,pnl,pnl_percent,created_at,legacy_source_file,legacy_row_number,migration_status,quarantine_reason
te_8a8412d96baf2b67f0c20bf0,2026-06-24 00:00:00,2026-06-24,00:00:00,BTC-GBP,BUY,0.0210113518753041,47593.3203125,1000.0,0.0,GBP,legacy_migration,paper,RECORDED,SIGNAL ENTRY,trade_journal_v3.csv:19,legacy_trade_history_migration_v1,BTC-GBP_2026-06-24,0.0,0.0,2026-07-04T13:34:28,trade_journal_v3.csv,19.0,BACKFILLED_CLOSED_BUY,
te_bfc511fee3b310151472634f,2026-06-24 00:00:00,2026-06-24,00:00:00,VWRL.L,BUY,17.9985609060799,138.89999389648438,2500.0,0.0,GBp,legacy_migration,paper,RECORDED,SIGNAL ENTRY,trade_journal_v3.csv:20,legacy_trade_history_migration_v1,VWRL.L_2026-06-24,0.0,0.0,2026-07-04T13:34:28,trade_journal_v3.csv,20.0,BACKFILLED_CLOSED_BUY,
te_ccc82fb208ae3061713fd12d,2026-06-24 00:00:00,2026-06-24,00:00:00,BTC-GBP,SELL,0.0210113518753041,47364.98828125,995.202435346999,0.0,GBP,legacy_migration,paper,RECORDED,SIGNAL EXIT,trade_journal_v3.csv:22,legacy_trade_history_migration_v1,BTC-GBP_2026-06-24,-4.797564652996682,-0.0047975646529967,2026-07-04T13:34:28,trade_journal_v3.csv,22.0,BACKFILLED_CLOSED_SELL,
te_6a042e6663f234b57d5325cb,2026-06-24 00:00:00,2026-06-24,00:00:00,VWRL.L,SELL,17.9985609060799,137.30999755859375,2471.382354072032,0.0,GBp,legacy_migration,paper,RECORDED,SIGNAL EXIT,trade_journal_v3.csv:23,legacy_trade_history_migration_v1,VWRL.L_2026-06-24,-28.617645927968407,-0.0114470583711873,2026-07-04T13:34:28,trade_journal_v3.csv,23.0,BACKFILLED_CLOSED_SELL,
te_f1617f355cd1fae64fb856e8,2026-06-24 00:00:00,2026-06-24,00:00:00,VWRL.L,BUY,18.163324695481062,137.63999938964844,2500.0,0.0,GBp,legacy_migration,paper,RECORDED,SIGNAL ENTRY,trade_journal_v3.csv:24,legacy_trade_history_migration_v1,VWRL.L_2026-06-24,0.0,0.0,2026-07-04T13:34:28,trade_journal_v3.csv,24.0,BACKFILLED_CLOSED_BUY,
te_61e951c8b87f618f7def7ccc,2026-06-24 00:00:00,2026-06-24,00:00:00,IUSA.L,BUY,0.3563474387527839,5612.5,2000.0,0.0,GBp,legacy_migration,paper,RECORDED,SIGNAL ENTRY,trade_journal_v3.csv:25,legacy_trade_history_migration_v1,IUSA.L_2026-06-24,0.0,0.0,2026-07-04T13:34:28,trade_journal_v3.csv,25.0,BACKFILLED_CLOSED_BUY,
te_a497d0b46d04f3b36f28d519,2026-06-24 00:00:00,2026-06-24,00:00:00,BTC-GBP,BUY,0.0217949967711904,45882.08984375,1000.0,0.0,GBP,legacy_migration,paper,RECORDED,SIGNAL ENTRY,trade_journal_v3.csv:26,legacy_trade_history_migration_v1,BTC-GBP_2026-06-24,0.0,0.0,2026-07-04T13:34:28,trade_journal_v3.csv,26.0,BACKFILLED_CLOSED_BUY,
te_a1100d48a0c684bad53e785e,2026-06-24 00:00:00,2026-06-24,00:00:00,ETH-GBP,BUY,0.410407929049126,1218.300048828125,499.9999999999999,0.0,GBP,legacy_migration,paper,RECORDED,SIGNAL ENTRY,trade_journal_v3.csv:27,legacy_trade_history_migration_v1,ETH-GBP_2026-06-24,0.0,0.0,2026-07-04T13:34:28,trade_journal_v3.csv,27.0,BACKFILLED_CLOSED_BUY,
te_33bdf4355a35149714b8646a,2026-06-25 17:26:35,2026-06-25,17:26:35,IUSA.L,SELL,0.3563474387527839,5558.0,1980.5790645879729,0.0,GBp,legacy_migration,paper,RECORDED,SIGNAL EXIT,trade_journal_v3.csv:28,legacy_trade_history_migration_v1,IUSA.L_2026-06-25,-19.42093541202672,-0.0097104677060133,2026-07-04T13:34:28,trade_journal_v3.csv,28.0,BACKFILLED_CLOSED_SELL,
te_46a11a4ecf7bd8f0e7431dbf,2026-06-25 17:26:35,2026-06-25,17:26:35,BTC-GBP,SELL,0.0217949967711904,45141.1484375,983.8511844431392,0.0,GBP,legacy_migration,paper,RECORDED,SIGNAL EXIT,trade_journal_v3.csv:29,legacy_trade_history_migration_v1,BTC-GBP_2026-06-25,-16.148815556860026,-0.0161488155568599,2026-07-04T13:34:28,trade_journal_v3.csv,29.0,BACKFILLED_CLOSED_SELL,
te_a654166241c1a7fc5477eabe,2026-06-25 17:26:35,2026-06-25,17:26:35,ETH-GBP,SELL,0.410407929049126,1189.780029296875,488.2951578477389,0.0,GBP,legacy_migration,paper,RECORDED,SIGNAL EXIT,trade_journal_v3.csv:30,legacy_trade_history_migration_v1,ETH-GBP_2026-06-25,-11.704842152260936,-0.0234096843045218,2026-07-04T13:34:28,trade_journal_v3.csv,30.0,BACKFILLED_CLOSED_SELL,
te_437787a7e70c924efea25a9a,2026-06-26 14:18:32,2026-06-26,14:18:32,VWRL.L,SELL,18.163324695481062,135.6999969482422,2464.763105746712,0.0,GBp,legacy_migration,paper,RECORDED,SIGNAL EXIT,trade_journal_v3.csv:31,legacy_trade_history_migration_v1,VWRL.L_2026-06-26,-35.236894253287694,-0.014094757701315,2026-07-04T13:34:28,trade_journal_v3.csv,31.0,BACKFILLED_CLOSED_SELL,
te_3e64d727ac734bf52465b114,2026-06-26 15:08:34,2026-06-26,15:08:34,VWRL.L,BUY,18.417562242738388,135.74000549316406,2500.0,0.0,GBp,legacy_migration,paper,REJECTED,SIGNAL ENTRY,trade_journal_v3.csv:32,legacy_trade_history_migration_v1,VWRL.L_2026-06-26,0.0,0.0,2026-07-04T13:34:28,trade_journal_v3.csv,32.0,QUARANTINED_OPEN_LOT_MISMATCH,Ledger open lot is absent from current paper_portfolio_v3.csv and holdings_report.csv; treated as invalid legacy migration residue.
te_cc41e293d2a9fc3931cf4bdd,2026-07-01 16:12:07,2026-07-01,16:12:07,AAPL,BUY,3.3840947546531304,295.5,1000.0,0.0,USD,legacy_migration,paper,RECORDED,SIGNAL ENTRY,trade_journal_v3.csv:39,legacy_trade_history_migration_v1,AAPL_2026-07-01,0.0,0.0,2026-07-04T13:34:28,trade_journal_v3.csv,39.0,BACKFILLED_OPEN_BUY,
te_cb767854929758ed897c6c78,2026-07-01 16:12:07,2026-07-01,16:12:07,MSFT,BUY,2.591815138279048,385.8299865722656,1000.0,0.0,USD,legacy_migration,paper,RECORDED,SIGNAL ENTRY,trade_journal_v3.csv:40,legacy_trade_history_migration_v1,MSFT_2026-07-01,0.0,0.0,2026-07-04T13:34:28,trade_journal_v3.csv,40.0,BACKFILLED_OPEN_BUY,
te_eb3b9db87b18a0eb95b1405b,2026-07-03 13:23:43,2026-07-03,13:23:43,ETH-GBP,BUY,0.3838653592252517,1302.5400390625,500.0,0.0,GBP,ledger_open_lot_reconciliation,paper,RECORDED,SIGNAL ENTRY,trade_journal_v3.csv:46,ledger_open_lot_reconciliation_v1,ETH-GBP_2026-07-03,0.0,0.0,2026-07-04T18:48:03,trade_journal_v3.csv,46.0,RECONCILED_CURRENT_OPEN_BUY,
te_ac79538044d8eb90b89c5461,2026-07-03 00:48:33,2026-07-03,00:48:33,TSLA,BUY,2.0332951459639155,393.4500122070313,800.0,0.0,USD,ledger_open_lot_reconciliation,paper,RECORDED,SIGNAL ENTRY,trade_journal_v3.csv:44,ledger_open_lot_reconciliation_v1,TSLA_2026-07-03,0.0,0.0,2026-07-04T18:48:03,trade_journal_v3.csv,44.0,RECONCILED_CURRENT_OPEN_BUY,
te_c3730b152e1c6157034d3116,2026-07-03 01:45:45,2026-07-03,01:45:45,VWRL.L,SELL,18.136970882324224,137.8800048828125,2500.725633814292,0.0,GBp,legacy_migration,paper,REJECTED,CONFIRMED SIGNAL EXIT,trade_journal_v3.csv:44,legacy_trade_history_migration_v1,VWRL.L_2026-07-03,0.7256338142922075,0.0002902535257169,2026-07-04T13:34:28,trade_journal_v3.csv,44.0,QUARANTINED_OPEN_LOT_MISMATCH,Ledger open lot is absent from current paper_portfolio_v3.csv and holdings_report.csv; treated as invalid legacy migration residue.
te_0d46473b15c30d6746b204f5,2026-07-03 13:23:43,2026-07-03,13:23:43,SGLN.L,BUY,0.2474713335635654,6061.30810546875,1500.0,0.0,GBp,ledger_open_lot_reconciliation,paper,RECORDED,SIGNAL ENTRY,trade_journal_v3.csv:45,ledger_open_lot_reconciliation_v1,SGLN.L_2026-07-03,0.0,0.0,2026-07-04T18:48:03,trade_journal_v3.csv,45.0,RECONCILED_CURRENT_OPEN_BUY,
te_c52ddca47a885c4cabd68cda,2026-07-06 14:29:22,2026-07-06,14:29:22,SGLN.L,SELL,0.2474713335635654,6022.69970703125,1490.445528151918,0.0,GBp,portfolio_manager,paper,RECORDED,CONFIRMED SIGNAL EXIT,SGLN.L_2026-07-03_SELL,20260706_142922,SGLN.L_2026-07-03,-9.5544718480816,-0.006369647898721,2026-07-06T14:29:22,,,LIVE,
te_89e027a72358df2910c3e352,2026-07-06 14:29:22,2026-07-06,14:29:22,IUSA.L,BUY,0.3573342862247632,5597.0,2000.0,0.0,GBp,portfolio_manager,paper,RECORDED,SIGNAL ENTRY,IUSA.L_2026-07-06_BUY,20260706_142922,IUSA.L_2026-07-06,0.0,0.0,2026-07-06T14:29:22,,,LIVE,
te_b86403441962ba6022a45aed,2026-07-06 14:34:39,2026-07-06,14:34:39,TSLA,SELL,2.0332951459639155,395.6099853515625,804.3918629101877,0.0,USD,portfolio_manager,paper,RECORDED,CONFIRMED SIGNAL EXIT,TSLA_2026-07-03_SELL,20260706_143439,TSLA_2026-07-03,4.39186291018769,0.0054898286377345,2026-07-06T14:34:39,,,LIVE,
te_1a69073dc257c6b819b5cf58,2026-07-06 14:39:53,2026-07-06,14:39:53,MSFT,SELL,2.591815138279048,381.5299987792969,988.8552265437684,0.0,USD,portfolio_manager,paper,RECORDED,CONFIRMED SIGNAL EXIT,MSFT_2026-07-01 00:00:00_SELL,20260706_143953,MSFT_2026-07-01 00:00:00,-11.14477345623152,-0.0111447734562315,2026-07-06T14:39:53,,,LIVE,
te_89a927259810fc88e48be4b1,2026-07-06 15:11:14,2026-07-06,15:11:14,TSLA,BUY,1.9658504448352,403.5199890136719,793.2599499024217,0.0,USD,portfolio_manager,paper,RECORDED,SIGNAL ENTRY,TSLA_2026-07-06_BUY,20260706_151114,TSLA_2026-07-06,0.0,0.0,2026-07-06T15:11:14,,,LIVE,
te_0fe65e115ea80106e4353dee,2026-07-06 16:57:38,2026-07-06,16:57:38,BTC-GBP,BUY,0.0210814625594048,47435.0390625,999.9999999999998,0.0,GBP,portfolio_manager,paper,RECORDED,SIGNAL ENTRY,BTC-GBP_2026-07-06_BUY,20260706_165738,BTC-GBP_2026-07-06,0.0,0.0,2026-07-06T16:57:38,,,LIVE,
