date,time,action,ticker,price,shares,value,pnl,pnl_percent,reason
2026-06-21,,SELL,TSLA,400.489990234375,1.997553046286684,800.0000000000001,0.0,0.0,SIGNAL EXIT
2026-06-21 00:00:00,,SELL,TSLA,400.489990234375,1.997553046286684,800.0000000000001,0.0,0.0,SIGNAL EXIT
2026-06-21 00:00:00,,SELL,TSLA,400.489990234375,1.997553046286684,800.0000000000001,0.0,0.0,SIGNAL EXIT
2026-06-22 00:00:00,,SELL,TSLA,400.489990234375,1.997553046286684,800.0000000000001,0.0,0.0,SIGNAL EXIT
2026-06-22 00:00:00,,SELL,ETH-GBP,1321.3699951171875,0.3776349394926673,498.9954781535052,-1.004521846494716,-0.0020090436929894,SIGNAL EXIT
2026-06-22 00:00:00,,SELL,BTC-GBP,49013.4609375,0.0203833503061881,999.0585440077292,-0.9414559922670628,-0.000941455992267,SIGNAL EXIT
2026-06-22 00:00:00,,SELL,ETH-GBP,1321.6700439453125,0.3778461147899448,499.3878911389919,-0.6121088610079782,-0.0012242177220159,SIGNAL EXIT
2026-06-22 00:00:00,,SELL,BTC-GBP,48956.96875,0.0203847380421812,997.9749833080012,-2.0250166919949613,-0.0020250166919949,SIGNAL EXIT
2026-06-22 00:00:00,,SELL,AAPL,297.010009765625,3.334277950448812,990.3139266241096,-9.686073375890285,-0.0096860733758903,SIGNAL EXIT
2026-06-22 00:00:00,,SELL,TSLA,405.0499877929688,1.9486055871067816,789.2826692709127,-10.71733072908741,-0.0133966634113592,SIGNAL EXIT
2026-06-23 00:00:00,,SELL,IUSA.L,5553.5,0.3543900062018251,1968.104899441836,-31.89510055816426,-0.0159475502790821,SIGNAL EXIT
2026-06-23 00:00:00,,SELL,NVDA,202.1499938964844,4.746309689175233,959.4664746975982,-40.53352530240198,-0.0405335253024019,SIGNAL EXIT
2026-06-23 00:00:00,,SELL,VWRL.L,137.05999755859375,17.992083878427366,2465.9949724512685,-34.00502754873121,-0.0136020110194924,SIGNAL EXIT
2026-06-23 00:00:00,,SELL,IUSA.L,5589.0,0.3595505617977528,2009.5280898876404,9.52808988764045,0.0047640449438202,SIGNAL EXIT
2026-06-23 00:00:00,,SELL,AAPL,300.2099914550781,3.3422458529448544,1003.375598953345,3.3755989533450306,0.003375598953345,SIGNAL EXIT
2026-06-23 00:00:00,,SELL,VWRL.L,137.33999633789062,18.18975520657318,2498.1809134578875,-1.8190865421124365,-0.0007276346168449,SIGNAL EXIT
2026-06-23 00:00:00,,SELL,AAPL,294.29998779296875,3.3510940911093026,986.2269501065574,-13.773049893442613,-0.0137730498934426,SIGNAL EXIT
2026-06-24 00:00:00,,BUY,BTC-GBP,47593.3203125,0.0210113518753041,1000.0,0.0,0.0,SIGNAL ENTRY
2026-06-24 00:00:00,,BUY,VWRL.L,138.89999389648438,17.9985609060799,2500.0,0.0,0.0,SIGNAL ENTRY
2026-06-24 00:00:00,,SELL,IUSA.L,5589.75,0.3585996682953068,2004.4824958536915,4.482495853691336,0.0022412479268456,SIGNAL EXIT
2026-06-24 00:00:00,,SELL,BTC-GBP,47364.98828125,0.0210113518753041,995.202435346999,-4.797564652996682,-0.0047975646529967,SIGNAL EXIT
2026-06-24 00:00:00,,SELL,VWRL.L,137.30999755859375,17.9985609060799,2471.382354072032,-28.617645927968407,-0.0114470583711873,SIGNAL EXIT
2026-06-24 00:00:00,,BUY,VWRL.L,137.63999938964844,18.163324695481062,2500.0,0.0,0.0,SIGNAL ENTRY
2026-06-24 00:00:00,,BUY,IUSA.L,5612.5,0.3563474387527839,2000.0,0.0,0.0,SIGNAL ENTRY
2026-06-24 00:00:00,,BUY,BTC-GBP,45882.08984375,0.0217949967711904,1000.0,0.0,0.0,SIGNAL ENTRY
2026-06-24 00:00:00,,BUY,ETH-GBP,1218.300048828125,0.410407929049126,499.9999999999999,0.0,0.0,SIGNAL ENTRY
2026-06-25 00:00:00,17:26:35,SELL,IUSA.L,5558.0,0.3563474387527839,1980.5790645879729,-19.42093541202672,-0.0097104677060133,SIGNAL EXIT
2026-06-25 00:00:00,17:26:35,SELL,BTC-GBP,45141.1484375,0.0217949967711904,983.8511844431392,-16.148815556860026,-0.0161488155568599,SIGNAL EXIT
2026-06-25 00:00:00,17:26:35,SELL,ETH-GBP,1189.780029296875,0.410407929049126,488.2951578477389,-11.704842152260936,-0.0234096843045218,SIGNAL EXIT
2026-06-26 00:00:00,14:18:32,SELL,VWRL.L,135.6999969482422,18.163324695481062,2464.763105746712,-35.236894253287694,-0.014094757701315,SIGNAL EXIT
2026-06-26 00:00:00,15:08:34,BUY,VWRL.L,135.74000549316406,18.417562242738388,2500.0,0.0,0.0,SIGNAL ENTRY
2026-06-28 00:00:00,12:46:01,BUY,IUSA.L,5555.75,0.35998740044098454,2000.0,0.0,0.0,SIGNAL ENTRY
