Date,daily_return,equity,peak,drawdown,trading_cost
2023-06-23,0.0,10000.0,10000.0,0.0,0.0
2023-06-24,0.0,10000.0,10000.0,0.0,0.0
2023-06-25,0.0,10000.0,10000.0,0.0,0.0
2023-06-26,0.0,10000.0,10000.0,0.0,0.0
2023-06-27,0.0,10000.0,10000.0,0.0,0.0
2023-06-28,0.0,10000.0,10000.0,0.0,0.0
2023-06-29,0.0,10000.0,10000.0,0.0,0.0
2023-06-30,0.0,10000.0,10000.0,0.0,0.0
2023-07-01,0.0,10000.0,10000.0,0.0,0.0
2023-07-02,0.0,10000.0,10000.0,0.0,0.0
2023-07-03,0.0,10000.0,10000.0,0.0,0.0
2023-07-04,0.0,10000.0,10000.0,0.0,0.0
2023-07-05,0.0,10000.0,10000.0,0.0,0.0
2023-07-06,-0.00015000000000000001,9998.5,10000.0,-0.00014999999999998348,0.00015000000000000001
2023-07-07,-0.003756560221195961,9960.940032628372,10000.0,-0.0039059967371627424,0.000675
2023-07-08,0.0,9960.940032628372,10000.0,-0.0039059967371627424,0.0
2023-07-09,0.0,9960.940032628372,10000.0,-0.0039059967371627424,0.0
2023-07-10,-0.005148995155295728,9909.651200658178,10000.0,-0.009034879934182172,0.00030000000000000003
2023-07-11,0.0005868299577620339,9915.466480853696,10000.0,-0.00845335191463037,0.0
2023-07-12,0.003507602423886217,9950.245995115902,10000.0,-0.004975400488409831,0.000675
2023-07-13,0.007430589923735043,10024.182192745893,10024.182192745893,0.0,0.0006
2023-07-14,-0.004459308397873688,9979.481272911966,10024.182192745893,-0.004459308397873674,0.00030000000000000003
2023-07-15,-0.000278173635301801,9976.705244327854,10024.182192745893,-0.0047362415711474926,7.500000000000001e-05
2023-07-16,0.0,9976.705244327854,10024.182192745893,-0.0047362415711474926,0.0
2023-07-17,0.004057503314994579,10017.185758929436,10024.182192745893,-0.0006979555720286745,0.0008250000000000001
2023-07-18,0.008609170120506998,10103.425415256781,10103.425415256781,0.0,0.000525
2023-07-19,0.004164742060074367,10145.503576034525,10145.503576034525,0.0,0.00030000000000000003
2023-07-20,-0.015562661295857112,9987.612540204793,10145.503576034525,-0.01556266129585715,0.000345
2023-07-21,-0.004247841546796585,9945.186744703204,10145.503576034525,-0.01974439512342252,0.000225
